index,Title,Genre,Runtime,Rating
0.0,Patton Oswalt: Annihilation,,66,7.4
1.0,New York Doll,"Documentary,Music",75,7.9
2.0,Mickey's Magical Christmas: Snowed in at the House of Mouse,"Adventure,Animation,Comedy,Family,Fantasy",65,6.8
3.0,Mickey's House of Villains,"Animation,Comedy,Family,Fantasy,Horror",105,6.6
4.0,And Then I Go,Drama,99,7.6
5.0,An Extremely Goofy Movie,"Animation,Comedy,Family,Sport",79,6.4
6.0,Peter Rabbit,"Adventure,Animation,Comedy,Family,Fantasy",95,6.6
7.0,Love Songs,,91,7.2
8.0,89,,91,8.1
9.0,The Foster Boy,Drama,107,7.4
10.0,Forever My Girl,"Drama,Music,Romance",108,6.4
11.0,Tom Segura: Disgraceful,"Comedy,Documentary",105,7.5
12.0,The Secret Rules of Modern Living: Algorithms,Documentary,58,7.5
13.0,Secrets in the Fall,Family,105,7.3
14.0,Silent Night,"Comedy,Drama",100,7.5
15.0,Suicide Squad: Hell to Pay,"Action,Animation",86,7.2
16.0,Wildling,"Fantasy,Horror",92,6.1
17.0,The Humanity Bureau,"Action,Sci-Fi",95,6.1
18.0,Farewell Ferris Wheel,"Documentary,Drama,News",72,7.4
19.0,Don't Talk to Irene,Comedy,90,6.4
20.0,Blood Road,"Documentary,History,Sport",96,6.9
21.0,Andre the Giant,Documentary,85,8.2
22.0,Dead on Arrival,Thriller,97,6.9
23.0,Big Time,Documentary,93,6.2
24.0,Adventures in Babysitting,"Adventure,Comedy,Family",105,6.1
25.0,Banana in a Nutshell,Documentary,105,6.6
26.0,Hostiles,"Adventure,Drama,Western",134,7.3
27.0,Maze Runner: The Death Cure,"Action,Sci-Fi,Thriller",141,6.5
28.0,Den of Thieves,"Action,Crime,Drama,Mystery,Thriller",140,7.0
29.0,V.I.P.,"Action,Crime,Thriller",128,6.4
30.0,Walk Hard: The Dewey Cox Story,"Comedy,Music",96,6.8
31.0,Freaky Friday,"Comedy,Family,Fantasy,Music,Romance",97,6.2
32.0,Perfect Strangers,Comedy,97,7.0
33.0,Paterno,"Biography,Drama",105,6.6
34.0,Shirley: Visions of Reality,Documentary,92,6.5
