Title,Rating,Genre,Runtime
The Matrix,8.7,"Action, Sci-Fi",136 min
The Lord of the Rings: The Fellowship of the Ring,8.9,"Adventure, Drama, Fantasy",178 min
Inception,8.8,"Action, Adventure, Sci-Fi",148 min
The Dark Knight,9.0,"Action, Crime, Drama",152 min
Star Wars: Episode IV - A New Hope,8.6,"Action, Adventure, Fantasy",121 min
12 Angry Men,9.0,"Crime, Drama",96 min
The Godfather,9.2,"Crime, Drama",175 min
Fight Club,8.8,Drama,139 min
Forrest Gump,8.8,"Drama, Romance",142 min
Pulp Fiction,8.9,"Crime, Drama",154 min
"The Good, the Bad and the Ugly",8.8,"Adventure, Western",178 min
Star Wars: Episode V - The Empire Strikes Back,8.7,"Action, Adventure, Fantasy",124 min
The Lord of the Rings: The Return of the King,9.0,"Adventure, Drama, Fantasy",201 min
The Godfather Part II,9.0,"Crime, Drama",202 min
