Title,Rating,Genre,Runtime
Le caviar rouge,4.1,Drama,92 min
The Octopuses from the Second Floor,6.9,"Comedy, Family, Sci-Fi",92 min
Cocaine Wars,4.3,"Action, Drama",82 min
Crossroads,7.1,"Drama, Music, Mystery",99 min
A Deadly Business,5.9,Drama,96 min
Wild Wind,4.3,"Drama, War",91 min
Down and Out in Beverly Hills,6.2,Comedy,103 min
Echo Park,5.8,"Comedy, Drama",88 min
Blessings of the Earth,8,Drama,N/A
A fantasztikus nagynéni,7.5,"Adventure, Comedy, Family",N/A
For Love Alone,5.3,"History, Romance",102 min
Fuegos,4,Drama,95 min
Glód,N/A,N/A,50 min
Grandeur et décadence d'un petit commerce de cinéma,6.3,"Crime, Thriller",52 min
Happy Hour,3.8,Comedy,88 min
Hell High,5.1,"Crime, Horror, Thriller",84 min
House,6.1,"Comedy, Fantasy, Horror",93 min
I Own the Racecourse,4.5,Drama,90 min
Inside Out,6.2,"Drama, Romance",87 min
Jing zei xiong di,5.9,Action,N/A
Echoes in the Wilderness,N/A,"Documentary, Short",N/A
Kiri Kara Watita,N/A,N/A,80 min
Labyrinth,7.3,"Adventure, Family, Fantasy",101 min
Ein Leben für die Herrschaft - Vom Glück und Elend der dienstbaren Geister,N/A,Documentary,44 min
Zátah,5.2,Crime,83 min
Abracadabra,5.7,"Comedy, Horror",86 min
Mammame,7.1,"Fantasy, Music",65 min
Merry Go Round,N/A,N/A,N/A
Dream Lovers,6.2,"Drama, Fantasy, Romance",95 min
Modern Girls,5.7,"Comedy, Drama, Romance",84 min
The Mosquito Coast,6.6,"Adventure, Drama, Thriller",117 min
Mystery Mansion,4.4,"Adventure, Mystery",95 min
Nanou,5.9,"Drama, Romance",110 min
Ren zhe da,5.8,"Action, Crime",90 min
Nyamanton,6.9,Drama,90 min
One Night Only,4.5,Comedy,87 min
Otto Klemperer's Long Journey Through His Times,8.6,Documentary,98 min
Pascal - Gödel,6.5,Short,5 min
The Phantom Empire,3.8,"Adventure, Comedy, Fantasy",83 min
Polvos bélicos,N/A,Adult,N/A
Puteshestviye gospodina Perrishona,5.9,"Comedy, Musical",75 min
Red Grooms: Sunflower in a Hothouse,7.9,"Documentary, Short, Biography",21 min
#DUPE#,N/A,N/A,N/A
Ryder P.I.,4.5,Comedy,92 min
Der Schnee vom vergangenen Jahr,5.3,Crime,88 min
100 Ways to Murder Your Wife,5.8,"Comedy, Romance",92 min
Sincerely Charlotte,5.6,Drama,88 min
